SITE_ID,n_forest_cells,total_protected_forest_area_mha,mean_FLII,mean_pest_record_probability,obs_occurrence,mean_sampling_effort,mean_carbon_percentile,IUCN_group,governance_group,ISO3,country
4106,11,0.0455821098201706,9.02354077649517,0.00833876297575318,0,0.804277859615342,0.744448417177814,VI,Shared governance,ZMB,Zambia
4108,6,0.0184350932237883,7.08114684237729,0.00712890491589152,0,0,0.273629576064393,VI,Shared governance,ZMB,Zambia
4110,19,0.0833778393391584,8.71882988553571,0.0130712783634617,0,1.84940011062078,0.239866551580647,VI,Shared governance,ZMB,Zambia
4111,15,0.0625043270887673,9.49281687316414,0.00535887770958889,0,0,0.197239800499552,VI,Shared governance,ZMB,Zambia
4162,24,0.0742800091907582,9.9967445500868,0.0210911021933758,0,0.43994396222871,0.490073951348593,Ib,Government,CAN,Canada
4166,16,0.0983294231020826,9.30416518172949,0.331360981613265,0,5.06412620559527,0.0659146502867117,II,Government,CAN,Canada
4168,10,0.0352307243207198,9.27678136668342,0.159869147733198,0,2.79724172313232,0.302594575849751,II,Government,CAN,Canada
4170,5,0.0149808996628711,7.93026959778629,0.0535838979115111,0,1.46770826774402,0.736740173307906,II,Government,CAN,Canada
4176,68,0.219936393456713,9.96498976599432,0.0165990408260779,0,0.71994397380027,0.664320517904776,II,Government,CAN,Canada
4177,46,0.201297977741535,9.592586806976,0.139761502209455,0,2.99057268051918,0.124979606673373,II,Government,CAN,Canada
4178,8,0.0221907651226772,9.96188059272406,0.0546236103772994,0,2.74166924278895,0.274566294939863,II,Government,CAN,Canada
4179,12,0.0378158265470836,9.45403465113375,0.202272414440204,0,4.44897911507835,0.689507057540864,II,Government,CAN,Canada
4180,7,0.0184924659302899,9.97225519170187,0.0185216619938752,0,0.648649818133249,0.310703770962968,Ib,Government,CAN,Canada
4181,28,0.104980275312208,9.32027282967303,0.0341960239342601,0,1.89223424771969,0.417497655759123,Ib,Government,CAN,Canada
4183,5,0.0154723528588307,9.98721362659578,0.0334061726243991,0,2.83433611521812,0.744268960965792,Ib,Government,CAN,Canada
4184,7,0.0214781905008551,9.57465730888683,0.166422694569997,0,4.48864902696137,0.260724605702718,II,Government,CAN,Canada
4200,29,0.180298839029073,9.64937746491545,0.0998888006078839,0,3.10880300388783,0.452701482952628,Not reported,Community/Indigenous,PNG,Papua New Guinea
4325,8,0.0463532548286288,7.27470703271523,0.578080824591638,0,7.74916373431315,0.738017558395162,Not reported,Not reported,USA,United States
