iso_a3,protected_forest_area_ha,pest_record_area_ha_gt0,pest_record_area_ha_gt1,pest_record_share_gt0,pest_record_share_gt1,n_protected_forest_cells,n_cells_with_pest_gt0,n_cells_with_pest_gt1,protected_forest_area_Mha,pest_record_area_Mha_gt0,pest_record_area_Mha_gt1,pest_record_share_pct_gt0,pest_record_share_pct_gt1,formal_en,continent
PHL,3792637.41870707,310672.582337394,310672.582337394,0.0819146541151049,0.0819146541151049,718,63,27,3.79263741870707,0.310672582337394,0.310672582337394,8.19146541151049,8.19146541151049,Republic of the Philippines,Asia
TCD,3701914.92250712,0,0,0,0,362,0,0,3.70191492250712,0,0,0,0,Republic of Chad,Africa
GBR,3695612.28073855,2797888.67041106,2797888.67041106,0.757083930312059,0.757083930312059,1186,885,740,3.69561228073855,2.79788867041106,2.79788867041106,75.7083930312059,75.7083930312059,United Kingdom of Great Britain and Northern Ireland,Europe
MNG,3687596.33065152,0,0,0,0,570,0,0,3.68759633065152,0,0,0,0,Mongolia,Asia
GHA,3433732.90097879,56920.0138188093,56920.0138188093,0.0165767156212367,0.0165767156212367,732,13,7,3.43373290097879,0.0569200138188093,0.0569200138188093,1.65767156212367,1.65767156212367,Republic of Ghana,Africa
KEN,3395580.27336214,173703.436355882,173703.436355882,0.0511557443417142,0.0511557443417142,588,34,12,3.39558027336214,0.173703436355882,0.173703436355882,5.11557443417142,5.11557443417142,Republic of Kenya,Africa
GRC,3326237.68839555,389959.570764355,389959.570764355,0.117237433790385,0.117237433790385,739,104,49,3.32623768839555,0.389959570764355,0.389959570764355,11.7237433790385,11.7237433790385,Hellenic Republic,Europe
GTM,3266650.70625976,181474.249690677,181474.249690677,0.0555536131680454,0.0555536131680454,471,40,23,3.26665070625976,0.181474249690677,0.181474249690677,5.55536131680454,5.55536131680454,Republic of Guatemala,North America
BEN,3057179.97110494,1144322.35127946,1144322.35127946,0.37430650537262,0.37430650537262,365,129,124,3.05717997110494,1.14432235127946,1.14432235127946,37.430650537262,37.430650537262,Republic of Benin,Africa
UGA,3030541.47946006,122461.54293729,122461.54293729,0.0404091294467641,0.0404091294467641,771,21,10,3.03054147946006,0.12246154293729,0.12246154293729,4.04091294467641,4.04091294467641,Republic of Uganda,Africa
HND,2937098.41755779,87891.9359603158,87891.9359603158,0.0299247500304734,0.0299247500304734,436,18,12,2.93709841755779,0.0878919359603158,0.0878919359603158,2.99247500304734,2.99247500304734,Republic of Honduras,North America
CRI,2821158.57149498,921283.478881158,921283.478881158,0.326562104019894,0.326562104019894,335,107,62,2.82115857149498,0.921283478881158,0.921283478881158,32.6562104019894,32.6562104019894,Republic of Costa Rica,North America
AUT,2800866.32067621,2395981.32778422,2395981.32778422,0.855442942812692,0.855442942812692,764,670,607,2.80086632067621,2.39598132778422,2.39598132778422,85.5442942812693,85.5442942812693,Republic of Austria,Europe
KAZ,2649262.45888643,65328.9077904982,65328.9077904982,0.0246592811411966,0.0246592811411966,467,10,2,2.64926245888643,0.0653289077904982,0.0653289077904982,2.46592811411966,2.46592811411966,Republic of Kazakhstan,Asia
SUR,2106291.56172994,6390.69861661813,6390.69861661813,0.00303409970999899,0.00303409970999899,269,1,0,2.10629156172994,0.00639069861661813,0.00639069861661813,0.303409970999899,0.303409970999899,Republic of Suriname,South America
MWI,2106266.66846436,84854.6098110266,84854.6098110266,0.0402867362815424,0.0402867362815424,428,24,9,2.10626666846436,0.0848546098110266,0.0848546098110266,4.02867362815424,4.02867362815424,Republic of Malawi,Africa
BLR,2100186.38712076,89190.4002470572,89190.4002470572,0.0424678498984713,0.0424678498984713,704,29,13,2.10018638712076,0.0891904002470572,0.0891904002470572,4.24678498984713,4.24678498984713,Republic of Belarus,Europe
LKA,2085703.14323991,293013.083203005,293013.083203005,0.14048647534176,0.14048647534176,428,87,43,2.08570314323991,0.293013083203005,0.293013083203005,14.048647534176,14.048647534176,Democratic Socialist Republic of Sri Lanka,Asia
SVK,2003431.65451043,1921173.92947148,1921173.92947148,0.958941586625246,0.958941586625246,446,418,414,2.00343165451043,1.92117392947148,1.92117392947148,95.8941586625246,95.8941586625246,Slovak Republic,Europe
CZE,1978320.97095231,1094549.40264157,1094549.40264157,0.553271900117744,0.553271900117744,646,333,190,1.97832097095231,1.09454940264157,1.09454940264157,55.3271900117744,55.3271900117744,Czech Republic,Europe
