SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,carbon_asset,pest_signal,pest_signal_observed_effort,obs_occurrence,record_intensity,lon,lat,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,IUCN_group,carbon_asset_rank,pest_signal_rank,priority_score,priority_rank,priority_flag
33990,35,3822.64952213612,0.443324783332567,1694.67527115733,0.000669249058839283,0.00046703122844803,0,0,-60.8245670971555,-10.6252317025242,Zoró,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1987,BRA,3555.73790860372,Other/Not reported,0.929952572053995,0.0550893834367019,0.0512305138198297,0.182415176942722,FALSE
33991,19,1946.44263853125,0.751912274859283,1463.55411222114,0.00344336353410402,0.00276298474623775,0,0,-46.7360696278122,-2.30033737040121,Alto Rio Guamá,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1994,BRA,2822.52455206166,Other/Not reported,0.914994527544692,0.245530828164903,0.224659364114403,0.566216709230208,FALSE
33994,47,5451.35075089229,0.147320514433611,803.095796979507,0.00155571920972601,0.00144544289954812,0,0,-56.911321992159,-3.62295629776645,Andirá-Marau,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1987,BRA,7905.8252016016,Other/Not reported,0.842758117475374,0.153593578985772,0.129442235482354,0.378329076979205,FALSE
33995,57,6618.88095322272,0.499483580473404,3306.0223572429,0.00149197905857284,0.00122229764162529,0,0,-52.044418677224,-5.66581909972864,Apyterewa,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,2008,BRA,7738.16059164308,Other/Not reported,0.968259759211966,0.150674936154688,0.145892477400417,0.416271433783291,FALSE
33998,90,10716.3739917485,0.31776654203329,3405.30510649341,0.0012396281187118,0.0010119443648572,0,0,-52.4853836010426,-4.94767571728617,Araweté Igarapé Ipixuna,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1997,BRA,9409.29343964926,Other/Not reported,0.970083910981394,0.126960963152134,0.123162787676587,0.364830353885443,FALSE
34000,116,13979.2815597603,0.290801365156448,4065.19416148466,0.000667507155383375,0.000463058252260748,0,0,-54.5134931301599,-7.28682279789648,Baú,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,2008,BRA,15384.8493068557,Other/Not reported,0.97519153593579,0.0543597227289311,0.0530111415010699,0.186428310835462,FALSE
34001,43,4861.19286526848,0.564500025125148,2744.14349458225,0.000915051283509752,0.00135819116157447,0,0,-50.7929269567969,-6.30850364999141,Xikrin do Rio Catete,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1994,BRA,4360.32735251981,Other/Not reported,0.959868661072601,0.0908427581174754,0.0871971166023633,0.279095220722364,FALSE
34004,259,29117.3533047836,0.553584210007549,16118.9070267393,0.000972583105273365,0.000871006645337973,0,0,-51.9051594937579,-7.69818457164047,Kayapó,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1989,BRA,32833.7906545561,Other/Not reported,0.997081357168917,0.0992338562568406,0.0989442280736758,0.307551988325429,FALSE
34009,5,349.494871260342,0.741280870223692,259.073862306584,0.00431225274964036,0.00457453634803043,0,0,-48.9034684227064,-5.12158423741451,Mãe Maria,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1989,BRA,628.904615264969,Other/Not reported,0.549069682597592,0.282378693907333,0.155045579836022,0.432688799708136,FALSE
34010,232,26706.0226955292,0.382542488514469,10216.1883802716,0.000869294385409124,0.000906771288331335,0,0,-57.5459747719395,-7.47638621678241,Munduruku,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,2004,BRA,23859.9016699781,Other/Not reported,0.993797883983947,0.0831813206858811,0.0826654204846188,0.265961327982488,FALSE
34013,29,3157.77971637768,0.378603162527881,1195.54538718699,0.00164252932088323,0.00147065714041854,0,0,-50.1394687672106,-4.80822998230322,Parakanã,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1989,BRA,3512.56248467195,Other/Not reported,0.890186063480482,0.157971543232397,0.140624066211984,0.404961692812842,FALSE
