SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,n_high_cells,high_carbon_area,mean_net_effect,obs_occurrence_high,pred_inside_high,pred_outside_high,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,continent,IUCN_group,gap_like,carbon_rank,area_rank,asset_score,gap_rank,priority_score,priority_flag
901296,17,727.842382592833,0.797783938924438,10,371.093247236124,0.0179896875335611,0,0.032704617339539,0.0147149298059779,Le Lac Alaotra : Les Zones Humides et Bassins Versants,Wetland of International Importance (Ramsar Site),International,IV,Not Reported,Designated,2003,MDG,7226.27237743654,Africa,IV,-0.0179896875335611,0.468992248062016,0.573643410852713,0.521317829457364,0.453488372093023,0.236411573823689,FALSE
1111192,26,1263.59184345618,0.812693525199811,14,769.009152300533,0.203813302896561,0.713300151967584,0.740557349502937,0.536744046606376,Sequoia-Kings Canyon,Wilderness Area,National,Ib,Federal or national ministry or agency,Designated,1984,USA,3109.4096082692,Americas,Ib,-0.203813302896561,0.558139534883721,0.825581395348837,0.691860465116279,0.0310077519379845,0.0214530376780242,FALSE
11111184,103,4407.13350051648,0.801225249019256,64,2483.29473234866,0.0251472735885988,0.0677865799031799,0.0432021892334139,0.0180549156448152,Frank Church-River Of No Return,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1980,USA,9550.15256391857,Americas,Ib,-0.0251472735885988,0.48062015503876,0.976744186046512,0.728682170542636,0.410852713178295,0.299381046812091,FALSE
11111465,55,2781.73413190886,0.532626957814991,5,168.695766295198,0.0448069515646946,0,0.0711646102740198,0.0263576587093253,Selway-Bitterroot,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1963,USA,5457.84694101838,Americas,Ib,-0.0448069515646946,0.10077519379845,0.162790697674419,0.131782945736434,0.325581395348837,0.0429060753560483,FALSE
11111518,12,727.708500394751,0.803021880827746,7,461.101210030553,0.136219083754134,0.526425242331091,0.236723837948635,0.100504754194501,Olympic National Park,Marine Protected Area,National,V,Federal or national ministry or agency,Designated,1909,USA,3699.5787609762,Americas,V,-0.136219083754134,0.492248062015504,0.666666666666667,0.579457364341085,0.104651162790698,0.0606408869659275,FALSE
11115170,8,423.943740477063,0.873227227532758,7,368.294234031481,0.241388594927986,0.0791954426623486,0.521177910859421,0.279789315931435,Yolla Bolly-Middle Eel,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1964,USA,746.317449909414,Americas,Ib,-0.241388594927986,0.755813953488372,0.569767441860465,0.662790697674419,0.00775193798449612,0.00513791238507301,FALSE
555515508,7,203.501463527586,0.849336727351061,5,150.297461759529,0.0139419614949347,0,0.0206129848687414,0.00667102337380662,Little Grand Lake Provisional Ecological Reserve,Ecological Reserve,National,II,Sub-national ministry or agency,Designated,2002,CAN,735.506947015675,Americas,II,-0.0139419614949347,0.662790697674419,0.112403100775194,0.387596899224806,0.5,0.193798449612403,FALSE
555516089,9,187.743872621091,0.733144252782282,5,102.425674371193,0.00466400193228203,0,0.0072286925992028,0.00256469066692076,Hay-Zama Lakes Wildland Provincial Park,Wildland Provincial Park,National,Ib,Sub-national ministry or agency,Designated,1999,CAN,472.16322115352,Americas,Ib,-0.00466400193228203,0.329457364341085,0.0348837209302326,0.182170542635659,0.658914728682171,0.120034853674659,FALSE
555516098,16,484.308044122084,0.847721567021124,12,383.243522851722,0.0033925256799149,0,0.00525348067710022,0.00186095499718531,Birch Mountains Wildland Provincial Park,Wildland Provincial Park,National,Ib,Sub-national ministry or agency,Designated,2000,CAN,1365.87609848457,Americas,Ib,-0.0033925256799149,0.655038759689923,0.585271317829457,0.62015503875969,0.728682170542636,0.451895919716363,FALSE
555516111,65,1427.18513002217,0.803191391270053,43,951.402076903893,0.00195652922347329,0,0.00302870032183394,0.00107217109836065,Caribou Mountains Wildland Provincial Park,Wildland Provincial Park,National,Ib,Sub-national ministry or agency,Designated,2001,CAN,5923.87119245256,Americas,Ib,-0.00195652922347329,0.496124031007752,0.87984496124031,0.687984496124031,0.821705426356589,0.56532059371432,TRUE
555516430,49,1191.0828448378,0.525981973827012,5,95.9237825021705,0.0036838825443901,0,0.00570852563582047,0.00202464309143037,Sand Lakes Provincial Park,Provincial Park,National,Ib,Sub-national ministry or agency,Designated,1995,CAN,8306.57434058906,Americas,Ib,-0.0036838825443901,0.0968992248062016,0.0271317829457364,0.062015503875969,0.705426356589147,0.043747370951265,FALSE
555542728,32,2294.58363082286,0.760676377947296,14,935.176460413017,0.0123075809581585,0,0.0283097511377429,0.0160021701795844,Rivière Nosivolo et affluents,Wetland of International Importance (Ramsar Site),International,V,Not Reported,Designated,2010,MDG,3585.06476489856,Africa,V,-0.0123075809581585,0.383720930232558,0.872093023255814,0.627906976744186,0.531007751937985,0.333423472147107,FALSE
555542729,79,3334.3325538878,0.653203778309684,19,726.557224158359,0.00875129855207594,0,0.017415870270923,0.00866457171884704,Lake Niassa and its Coastal Zone,Wetland of International Importance (Ramsar Site),International,VI,Federal or national ministry or agency,Designated,0,MOZ,15842.6169624911,Africa,VI,-0.00875129855207594,0.228682170542636,0.806201550387597,0.517441860465116,0.585271317829457,0.302843879574545,FALSE
555543426,20,916.98991462314,0.749842776466079,9,320.866629293358,0.0896759646756444,0.0790584665549204,0.18453513801481,0.0948591733391656,Kaanju Ngaachi Wenlock and Pascoe Rivers,Indigenous Protected Area,National,V,Indigenous Peoples,Designated,2008,AUS,1798.89270352906,Oceania,V,-0.0896759646756444,0.356589147286822,0.472868217054264,0.414728682170543,0.22093023255814,0.0916261042004687,FALSE
555548136,17,308.169277018572,0.774723635060255,8,127.687820752875,0.0546474175653842,0,0.11386275253009,0.0592153349647056,Holroyd,Nature Refuge,National,VI,Individual landowners,Designated,2016,AUS,2820.58040382763,Oceania,VI,-0.0546474175653842,0.414728682170543,0.0775193798449612,0.246124031007752,0.286821705426357,0.0705937143200529,FALSE
555555854,42,3409.46907407978,0.807263827327861,30,2228.30690007858,0.015421529905716,0,0.028789764402852,0.013368234497136,Serranía de los Yariguíes,Integrated Management Regional Districts,National,VI,Sub-national ministry or agency,Designated,2005,COL,4189.10490116774,Americas,VI,-0.015421529905716,0.527131782945737,0.965116279069768,0.746124031007752,0.476744186046512,0.355710293852533,FALSE
555557754,7,264.745444389391,0.844532614716996,6,215.030930496854,0.0144708945040348,0.348211236193198,0.021386002966223,0.00691510846218821,Narrow Hills Provincial Park,Natural Environment Park,National,II,Sub-national ministry or agency,Designated,1934,CAN,586.787319650935,Americas,II,-0.0144708945040348,0.63953488372093,0.271317829457364,0.455426356589147,0.492248062015504,0.22418274142179,FALSE
555557763,20,683.523343211242,0.552176373315668,6,180.962449643819,0.0854220805961794,0,0.131776378167029,0.0463542975708496,Meadow Lake Provincial Park,Natural Environment Park,National,II,Sub-national ministry or agency,Designated,1959,CAN,1688.06961297032,Americas,II,-0.0854220805961794,0.12015503875969,0.189922480620155,0.155038759689923,0.228682170542636,0.0354546000841296,FALSE
