SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,n_high_cells,high_carbon_area,mean_net_effect,obs_occurrence_high,pred_inside_high,pred_outside_high,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,continent,IUCN_group,gap_like,carbon_rank,area_rank,asset_score,gap_rank,priority_score,priority_flag,effect_rank,priority_cut,lon,lat,priority_rank,size_class,designation_group,governance_group
555583089,6,286.498243212462,0.944050281156763,6,286.498243212462,0.0391257005641277,0,0.0589647763296157,0.019839075765488,Northern Negros Natural Park,Natural Park,National,II,Federal or national ministry or agency,Designated,2018,PHL,708.799924079988,Asia,II,-0.0391257005641277,0.920353982300885,0.429203539823009,0.674778761061947,0.341085271317829,0.465776489936565,FALSE,0.690265486725664,0.507126634818702,123.25,10.6666666666667,0.849557522123894,Small,Other designations,Government
555583092,19,1377.1567408493,0.776482768988401,13,909.763405337148,0.031970919212104,0,0.0771382182788292,0.0451672990667252,Quirino Protected Landscape,Protected Landscape,National,V,Federal or national ministry or agency,Designated,2005,PHL,1834.4751444426,Asia,V,-0.031970919212104,0.402654867256637,0.889380530973451,0.646017699115044,0.37984496124031,0.423055838358525,FALSE,0.654867256637168,0.507126634818702,121.586842105263,16.2236842105263,0.827433628318584,Medium,Protected Landscape,Government
555586266,45,2130.254167417,0.717684242362409,13,496.820767109449,0.0859372226781443,0.253711752798064,0.145260387696269,0.0593231650181245,Stephen Mather,Wilderness Area,National,Ib,Federal or national ministry or agency,Designated,1988,USA,2593.67862533302,Americas,Ib,-0.0859372226781443,0.278761061946903,0.738938053097345,0.508849557522124,0.224806201550388,0.407529955360639,FALSE,0.800884955752212,0.507126634818702,-121.121111111111,48.6855555555556,0.805309734513274,Medium,Wilderness Area,Government
555599309,7,218.915583431572,0.846626763031777,6,181.768116363685,0.150959530852162,0.463678898898488,0.282462900999624,0.131503370147461,Batavia,Nature Refuge,National,VI,Individual landowners,Designated,2013,AUS,791.426052952822,Oceania,VI,-0.150959530852162,0.646017699115044,0.194690265486726,0.420353982300885,0.0891472868217054,0.386874461586655,FALSE,0.920353982300885,0.507126634818702,142.807142857143,-12.5214285714286,0.783185840707965,Small,Other designations,Other governance
555599925,29,1128.76942040836,0.754778487474977,12,404.781098788053,0.035812533745861,0.112788235919879,0.0630342759422216,0.0272217421963607,Área De Proteção Ambiental Estadual Da Escarpa Devoniana,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,1992,BRA,4147.86366596263,Americas,V,-0.035812533745861,0.345132743362832,0.628318584070796,0.486725663716814,0.352713178294574,0.329508967029525,FALSE,0.676991150442478,0.507126634818702,-49.9672413793104,-24.701724137931,0.694690265486726,Large,Other designations,Government
555606906,16,348.113090302455,0.831306624469193,10,193.937411543317,0.000800393939270903,0,0.00140253459596402,0.000602140656693118,Lake Clark,National Preserve,National,V,Federal or national ministry or agency,Designated,1980,USA,15162.4782128821,Americas,V,-0.000800393939270903,0.601769911504425,0.243362831858407,0.422566371681416,0.903100775193798,0.0448743049573185,FALSE,0.106194690265487,0.507126634818702,-153.78125,60,0.128318584070796,Large,Nature/Forest Reserve,Government
555621524,26,1038.50839175226,0.751535625860875,12,471.449716503009,0.00962006329025602,0,0.014964664360495,0.005344601070239,Dillon River Wildland Provincial Park,Wildland Provincial Park,National,Ib,Sub-national ministry or agency,Designated,2015,CAN,1901.27789168492,Americas,Ib,-0.00962006329025602,0.336283185840708,0.712389380530973,0.524336283185841,0.569767441860465,0.243607565196961,FALSE,0.464601769911505,0.507126634818702,-110.165384615385,55.8153846153846,0.557522123893805,Medium,Other designations,Government
555637330,337,35519.7523434789,0.310192519900749,8,550.895605914977,0.0216671527187752,0.181672845387087,0.0343402504142133,0.0126730976954381,Rio Negro,Wetland of International Importance (Ramsar Site),International,Ib,Not Reported,Designated,2018,BRA,119481.402533976,Americas,Ib,-0.0216671527187752,0.00442477876106195,0.761061946902655,0.382743362831858,0.434108527131783,0.232016994283029,FALSE,0.606194690265487,0.507126634818702,-63.4197329376855,-1.71112759643918,0.535398230088496,Large,Other designations,Other governance
555643762,9,143.658826072127,0.940145824788009,9,143.658826072127,0.217414005058934,0.371383900034295,0.405318030362937,0.187904025304003,Kings Plains - Alkoomie,Nature Refuge,National,II,Non-profit organisations,Designated,2017,AUS,865.132912049389,Oceania,II,-0.217414005058934,0.915929203539823,0.101769911504425,0.508849557522124,0.0232558139534884,0.497591823948626,FALSE,0.97787610619469,0.507126634818702,144.961111111111,-15.6055555555556,0.898230088495575,Small,Other designations,Other governance
555682883,13,305.627563844052,0.881902581209685,12,289.547039956627,0.00320332111411548,0,0.00471134769342266,0.00150802657930719,Parque Estadual De Mirador,Park,National,II,Sub-national ministry or agency,Designated,1980,BRA,5012.09029262511,Americas,II,-0.00320332111411548,0.783185840707965,0.438053097345133,0.610619469026549,0.74031007751938,0.172918787688934,FALSE,0.283185840707965,0.507126634818702,-45.1653846153846,-6.46538461538462,0.384955752212389,Large,Other designations,Government
